run_id	timestamp	K	inner_lr	meta_lr	meta_train_stop_iter	overall_avg_pr_auc	overall_std_pr_auc	overall_avg_auc	overall_std_auc	idiopathic_pulmonary_fibrosis.avg_pr_auc	idiopathic_pulmonary_fibrosis.std_pr_auc	idiopathic_pulmonary_fibrosis.avg_auc	idiopathic_pulmonary_fibrosis.std_auc	HBV-HCC.avg_pr_auc	HBV-HCC.std_pr_auc	HBV-HCC.avg_auc	HBV-HCC.std_auc	cirrhosis.avg_pr_auc	cirrhosis.std_pr_auc	cirrhosis.avg_auc	cirrhosis.std_auc	ipf_ssc.avg_pr_auc	ipf_ssc.std_pr_auc	ipf_ssc.avg_auc	ipf_ssc.std_auc	IgA_nephropathy.avg_pr_auc	IgA_nephropathy.std_pr_auc	IgA_nephropathy.avg_auc	IgA_nephropathy.std_auc
K3_inner1.00e-04_meta1.00e-05	2026-01-02 14:17:22	3	0.0001	1e-05	1595	0.8705257766582197	0.13492496498278303	0.8853151935646053	0.12135079873979535	0.904232518818079	0.10062398511838189	0.8723981900452489	0.12156376188385148	1.0	0.0	1.0	0.0	0.9009543865444418	0.13999665404872647	0.8916444444444442	0.146946238594382	0.7661670257331287	0.11271369064669799	0.8331555555555554	0.09660390299606987	0.7812749521954484	0.10446543664943712	0.829377777777778	0.09336855420097416
K3_inner2.00e-04_meta1.00e-05	2026-01-02 14:18:27	3	0.0002	1e-05	1595	0.8703293736282574	0.13534858750268663	0.8851443740573153	0.12142968035578464	0.9028734305110216	0.10374042113941079	0.8718552036199095	0.12163259529148253	1.0	0.0	1.0	0.0	0.9011862269302167	0.13949429833443625	0.8915555555555555	0.14671514350377515	0.7663067349110699	0.11263595593499391	0.8330666666666666	0.09711760974950316	0.7812804757889785	0.10541565315297861	0.8292444444444446	0.0934225605237558
K3_inner5.00e-04_meta1.00e-05	2026-01-02 14:19:29	3	0.0005	1e-05	1595	0.8710249125627232	0.1348056540312372	0.88555197586727	0.12100260693191559	0.9028152326497805	0.10405504650173035	0.8714932126696834	0.1219740310782938	1.0	0.0	1.0	0.0	0.9012152330598581	0.13945968565026445	0.8917333333333332	0.14651510013613353	0.7688507294288139	0.11228855752495304	0.835111111111111	0.09551420293842673	0.7822433676751642	0.10535305180511771	0.8294222222222224	0.09333710045307632
K3_inner1.00e-03_meta1.00e-05	2026-01-02 14:20:33	3	0.001	1e-05	1595	0.8726221955960467	0.1335882702636186	0.8864479436902967	0.12072793303369013	0.9054167650014436	0.10017406055162414	0.8734841628959277	0.12084399795306712	1.0	0.0	1.0	0.0	0.901862648803488	0.13921869740810877	0.8921777777777777	0.1467388643849599	0.7742044647863754	0.1122479712194422	0.8374222222222223	0.0961155271946278	0.7816270993889267	0.10531421741310455	0.8291555555555558	0.09338902042425797
K3_inner2.00e-03_meta1.00e-05	2026-01-02 14:21:32	3	0.002	1e-05	1595	0.8727177623276597	0.13318650666131393	0.8870766013071896	0.11993365426195178	0.9072608239116211	0.09842428892132088	0.8752941176470589	0.11899045045206719	1.0	0.0	1.0	0.0	0.902097483649265	0.13810057931938297	0.8918222222222221	0.1461961746472235	0.7731331542655885	0.1103768309522501	0.8388444444444444	0.09505215202686511	0.7810973498118247	0.10574743025855478	0.8294222222222224	0.0937551947531969
K3_inner3.00e-03_meta1.00e-05	2026-01-02 14:22:33	3	0.003	1e-05	1595	0.8735029192633171	0.13292418923300947	0.887580814479638	0.11992649015034686	0.9086892148439425	0.09843480809608587	0.8771040723981901	0.11956446559071643	1.0	0.0	1.0	0.0	0.9020998830743587	0.13813102631252785	0.8919111111111111	0.14631996733018418	0.7738248019856572	0.11196396661222849	0.8394666666666667	0.0951013079060015	0.782900696412627	0.10410002738400134	0.8294222222222223	0.09326511792852794
K3_inner5.00e-03_meta1.00e-05	2026-01-02 14:23:20	3	0.005	1e-05	1246	0.88577020692317	0.12641277957274333	0.8999392659627954	0.10454288855242831	0.9450636559173471	0.059562111436086626	0.9179185520361992	0.08770818305137404	1.0	0.0	1.0	0.0	0.9141731277999041	0.12368892523325284	0.9107555555555557	0.12258238650589849	0.8281400512561661	0.09603933441663452	0.8635555555555556	0.08143042171232392	0.7414741996424329	0.10157434668048129	0.8074666666666666	0.07048860865854345
K3_inner7.00e-03_meta1.00e-05	2026-01-02 14:24:11	3	0.007	1e-05	1246	0.8832309817636219	0.12727782694569556	0.8983292911010557	0.10464250302823029	0.9434165450242264	0.06071976387419345	0.9151131221719457	0.08975970551270661	1.0	0.0	1.0	0.0	0.9141935508578988	0.12179639873783381	0.9101333333333333	0.12087676409784238	0.8168635229304663	0.09675668014395417	0.856088888888889	0.08375338283199353	0.741681290005518	0.1022652305457867	0.8103111111111112	0.06912470034315424
K3_inner1.00e-02_meta1.00e-05	2026-01-02 14:25:23	3	0.01	1e-05	2066	0.8819863896542243	0.1383235695961395	0.8972821719457013	0.11902233305934411	0.9496084856215458	0.05670796119770705	0.9256108597285067	0.08318982066552097	1.0	0.0	1.0	0.0	0.9065477876542825	0.14129774088349045	0.9048	0.14249997877409418	0.8194996589061476	0.1364691351733082	0.8523555555555555	0.12385029593210159	0.7342760160891451	0.09505899164343984	0.8036444444444445	0.07790688966189142
K3_inner2.00e-02_meta1.00e-05	2026-01-02 14:26:28	3	0.02	1e-05	1889	0.8753610119843596	0.14201954319631147	0.890175404725993	0.1250731501637629	0.9261094412799308	0.09304878602757766	0.8968325791855203	0.12135473287942268	1.0	0.0	1.0	0.0	0.9196404388438387	0.12535212530113257	0.9121777777777779	0.12538237023374577	0.8058266791955546	0.10371092951477684	0.8550222222222224	0.08508245528621554	0.7252285006024743	0.13518439993637751	0.7868444444444443	0.12659712711034402
