Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
SH2B3,0.0033215312304369846,0.00022021201527759013,-0.5644820295983086,-0.05638583104418413,0.056350270727806746,-3.556031637738669e-05,22,43,large,higher_in_label0(control)
CSN2,0.0034867081610079446,0.0002325389420719584,-0.562367864693446,-0.0082280322207575,0.0054961722287272,-0.0027318599920303,22,43,large,higher_in_label0(control)
RNF213,0.0035754332992926825,0.00024551120523951333,-0.5602536997885835,-0.023125855708745403,0.019973949856207603,-0.0031519058525378,22,43,large,higher_in_label0(control)
KSR1,0.0035754332992926825,0.00024551120523951333,-0.5602536997885835,-0.026943727522891578,0.03640533261684588,0.0094616050939543,22,43,large,higher_in_label0(control)
SIN3A,0.0035754332992926825,0.00024551120523951333,0.5602536997885834,0.15924705356138247,-0.15742382547809253,0.00182322808328995,22,43,large,higher_in_label1(disease)
IFIH1,0.0035754332992926825,0.00024551120523951333,0.5602536997885834,0.08897641246235224,-0.09790739327318315,-0.0089309808108309,22,43,large,higher_in_label1(disease)
STARD13,0.0035754332992926825,0.00024551120523951333,0.5602536997885834,0.0192197780689951,-0.0167868903616295,0.0024328877073656,22,43,large,higher_in_label1(disease)
STT3A,0.0036893896257746504,0.00025915996582000304,0.558139534883721,0.04815528767565563,-0.046419731171062226,0.0017355565045934001,22,43,large,higher_in_label1(disease)
PTPN6,0.0036893896257746504,0.00025915996582000304,0.558139534883721,0.06687524267388265,-0.06411320244311895,0.0027620402307637,22,43,large,higher_in_label1(disease)
NOTCH2,0.0036893896257746504,0.00025915996582000304,0.558139534883721,0.0471593132817504,-0.0383928005345704,0.00876651274718,22,43,large,higher_in_label1(disease)
LMNB1,0.0036893896257746504,0.00025915996582000304,-0.5581395348837209,-0.03850966610414518,0.035571964931894726,-0.00293770117225045,22,43,large,higher_in_label0(control)
RGS19,0.003808208576935661,0.0002735177430948265,0.5560253699788584,0.0022153924902649437,-0.0021715614553747,4.383103489024388e-05,22,43,large,higher_in_label1(disease)
NCBP1,0.003808208576935661,0.0002735177430948265,0.5560253699788584,0.0443011489964275,-0.039422910367213904,0.0048782386292136,22,43,large,higher_in_label1(disease)
