Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
COL1A2,0.004118340137949836,0.0001332690968081636,0.7115384615384615,0.02704293541877635,-0.02523680071157585,0.0018061347072005,16,26,large,higher_in_label1(disease)
GFAP,0.004118340137949836,0.0001332690968081636,0.7115384615384615,0.002981690642691886,-0.0029735392392897997,8.151403402086623e-06,16,26,large,higher_in_label1(disease)
ATP1A4,0.004118340137949836,0.0001332690968081636,0.7115384615384615,0.006832119629883075,-0.00601970801290475,0.0008124116169783251,16,26,large,higher_in_label1(disease)
DUSP7,0.004517810772767959,0.0001479788058957145,-0.7067307692307692,-0.08704149345318463,0.07535668890426245,-0.011684804548922175,16,26,large,higher_in_label0(control)
VPS33B,0.004895315122503764,0.00016420749227025254,-0.7019230769230769,-0.019417385749059626,0.018290155664161402,-0.001127230084898225,16,26,large,higher_in_label0(control)
SPTBN1,0.004895315122503764,0.00016420749227025254,0.7019230769230769,0.036025946903831846,-0.03163798496300685,0.0043879619408250005,16,26,large,higher_in_label1(disease)
ARPC1A,0.005184734962097927,0.00018210000458828552,-0.6971153846153846,-0.024844040372247776,0.02229130222403125,-0.0025527381482165247,16,26,large,higher_in_label0(control)
HHAT,0.005184734962097927,0.00018210000458828552,0.6971153846153846,0.014284108442832524,-0.008272196571166525,0.006011911871666,16,26,large,higher_in_label1(disease)
WNT10A,0.005184734962097927,0.00018210000458828552,-0.6971153846153846,-0.02157655882791682,0.017921518877405097,-0.003655039950511725,16,26,large,higher_in_label0(control)
CD163,0.005184734962097927,0.00018210000458828552,-0.6971153846153846,-0.00299670043292565,0.0021437966319457,-0.00085290380097995,16,26,large,higher_in_label0(control)
DLK1,0.0056821767322870935,0.0002018136960954374,-0.6923076923076923,-0.01246290203899065,0.011766554538883575,-0.000696347500107075,16,26,large,higher_in_label0(control)
MUC17,0.005962085073182037,0.00022351936935765333,-0.6875,-0.025265188901942726,0.029436917611486077,0.004171728709543351,16,26,large,higher_in_label0(control)
ATP1A3,0.005962085073182037,0.00022351936935765333,0.6875,0.0282642282889714,-0.02544134396273805,0.0028228843262333497,16,26,large,higher_in_label1(disease)
DYNC1LI1,0.005962085073182037,0.00022351936935765333,-0.6875,-0.01713163837344465,0.013632805815164201,-0.00349883255828045,16,26,large,higher_in_label0(control)
HDAC7,0.005962085073182037,0.00022351936935765333,0.6875,0.04301813851056255,-0.043592941033855026,-0.0005748025232924747,16,26,large,higher_in_label1(disease)
SLC1A5,0.005962085073182037,0.00022351936935765333,-0.6875,-0.021000366931104703,0.020080118747306752,-0.00092024818379795,16,26,large,higher_in_label0(control)
SNF8,0.006332498743732581,0.0002474022792539564,0.6826923076923077,0.04825558340478973,-0.041867823280359526,0.0063877601244302,16,26,large,higher_in_label1(disease)
DDOST,0.006332498743732581,0.0002474022792539564,-0.6826923076923077,-0.0261655560815876,0.014451898353593076,-0.011713657727994525,16,26,large,higher_in_label0(control)
NTRK1,0.006332498743732581,0.0002474022792539564,-0.6826923076923077,-0.0236338170975877,0.019750904826237776,-0.0038829122713499253,16,26,large,higher_in_label0(control)
TGFB1,0.006332498743732581,0.0002474022792539564,0.6826923076923077,0.042647138660619116,-0.008844236987580413,0.033802901673038704,16,26,large,higher_in_label1(disease)
POLR2C,0.0067326460214031415,0.00027366319660794146,0.6778846153846154,0.07998464422453061,-0.03840541407972953,0.041579230144801076,16,26,large,higher_in_label1(disease)
POLR2J,0.0067326460214031415,0.00027366319660794146,0.6778846153846154,0.16921180523954363,-0.13530496274131415,0.03390684249822948,16,26,large,higher_in_label1(disease)
RANBP10,0.0067326460214031415,0.00027366319660794146,-0.6778846153846154,-0.0005096780020219157,0.000548504964957225,3.88269629353093e-05,16,26,large,higher_in_label0(control)
hsa-mir-34b,0.0067326460214031415,0.00027366319660794146,0.6778846153846154,0.02852972990380205,-0.017706805790336125,0.010822924113465925,16,26,large,higher_in_label1(disease)
PIK3R6,0.007098004641038257,0.0003025195348193101,0.6730769230769231,0.018278022874450975,-0.01185256549932745,0.006425457375123525,16,26,large,higher_in_label1(disease)
DNMT1,0.007098004641038257,0.0003025195348193101,0.6730769230769231,0.044138775995406374,-0.043665037439413995,0.000473738555992375,16,26,large,higher_in_label1(disease)
ATP1A2,0.007098004641038257,0.0003025195348193101,-0.6730769230769231,-0.013430501814832574,0.011196915627919624,-0.00223358618691295,16,26,large,higher_in_label0(control)
ST6GAL1,0.007098004641038257,0.0003025195348193101,-0.6730769230769231,-0.030258770697866276,0.01835393341941895,-0.011904837278447324,16,26,large,higher_in_label0(control)
FGF18,0.007098004641038257,0.0003025195348193101,0.6730769230769231,0.16289586017247398,-0.07643365075648492,0.08646220941598906,16,26,large,higher_in_label1(disease)
GZMB,0.007494507760984668,0.0003342065418276509,0.6682692307692308,0.060710199553351274,-0.05432347442087587,0.0063867251324754,16,26,large,higher_in_label1(disease)
