Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
POMT2,0.0019035402747731923,0.0002689295257966862,-0.464527027027027,-0.0172859650819134,0.0189595808327332,0.0016736157508197998,24,148,medium,higher_in_label0(control)
NDUFS3,0.0019035402747731923,0.0002689295257966862,0.464527027027027,0.0010459068433524,-0.0009257410085719,0.0001201658347805,24,148,medium,higher_in_label1(disease)
VPS37C,0.001920408821355049,0.00027358626065871063,-0.463963963963964,-0.029475648986900277,0.028025620174011025,-0.0014500288128892502,24,148,medium,higher_in_label0(control)
PRICKLE1,0.001920408821355049,0.00027358626065871063,0.4639639639639639,0.008114096852345175,-0.007431324750524575,0.0006827721018206,24,148,medium,higher_in_label1(disease)
hsa-mir-206,0.001920408821355049,0.00027358626065871063,0.4639639639639639,0.002297900036806116,-0.002355039771813675,-5.713973500755921e-05,24,148,medium,higher_in_label1(disease)
POLR2F,0.0020160976831765684,0.0002880139547395098,-0.46227477477477474,-0.0810060337197909,0.0716834012509601,-0.0093226324688308,24,148,medium,higher_in_label0(control)
DAB2IP,0.0020395880587208014,0.00029297950014773943,-0.46171171171171166,-0.0021572599950434447,0.0021375863954384,-1.9673599605044658e-05,24,148,medium,higher_in_label0(control)
WNT10A,0.0020395880587208014,0.00029297950014773943,-0.46171171171171166,-0.00966027130523195,0.0103351773396371,0.00067490603440515,24,148,medium,higher_in_label0(control)
SEC23A,0.002063376312384763,0.00029802515009187973,-0.4611486486486487,-0.008445383697155327,0.0084813533550284,3.5969657873073e-05,24,148,medium,higher_in_label0(control)
HES5,0.002063376312384763,0.00029802515009187973,-0.4611486486486487,-0.0360746969088069,0.0204239706289806,-0.0156507262798263,24,148,medium,higher_in_label0(control)
CTDP1,0.002093153714021696,0.00030315209670322117,0.4605855855855856,0.0274467711775618,-0.0277187745642412,-0.0002720033866794,24,148,medium,higher_in_label1(disease)
PGF,0.002190865353908906,0.00031903287908144687,0.45889639639639634,0.01229896351666445,-0.01224765371803305,5.1309798631399205e-05,24,148,medium,higher_in_label1(disease)
PIK3CG,0.002190865353908906,0.00031903287908144687,-0.45889639639639634,-0.09143597120344138,0.09980864472251343,0.00837267351907205,24,148,medium,higher_in_label0(control)
RDH14,0.0022223676980739266,0.00032449725662484326,0.45833333333333326,0.028028793622678225,-0.023721920291574876,0.004306873331103351,24,148,medium,higher_in_label1(disease)
IL32,0.002254297867888615,0.00033004913535385796,0.4577702702702702,0.003363801455380825,-0.0018199400601287001,0.001543861395252125,24,148,medium,higher_in_label1(disease)
