Gene,q_value,p_value,cliffs_delta,delta_median(label1 - label0),median_label0,median_label1,n_label0,n_label1,effect_size_magnitude,direction
PPM1A,0.004178789136485911,0.0005260590901890313,-0.441834451901566,-0.009708822460061101,0.009122613457142301,-0.0005862090029188,24,149,medium,higher_in_label0(control)
GZMB,0.0042343119397699365,0.0005347197398288792,0.4412751677852349,0.06297396691721098,-0.06599354514902508,-0.0030195782318141,24,149,medium,higher_in_label1(disease)
ARHGEF4,0.004361014157237235,0.0005524410199183712,-0.4401565995525727,-0.020637999071319153,0.02071625587897105,7.82568076519e-05,24,149,medium,higher_in_label0(control)
OCRL,0.004418803335012187,0.0005615053961617696,-0.4395973154362416,-0.007818083039664374,0.007700002212096975,-0.0001180808275674,24,149,medium,higher_in_label0(control)
SRPK2,0.00447732014969283,0.000570708132735116,0.4390380313199105,0.03824397166458713,-0.03791148323337243,0.0003324884312147,24,149,medium,higher_in_label1(disease)
ATP6V1C1,0.004596570257725268,0.0005895364379481894,0.4379194630872483,0.001090593619426475,-0.000416172234566175,0.0006744213848603,24,149,medium,higher_in_label1(disease)
UACA,0.004596570257725268,0.0005895364379481894,-0.4379194630872483,-0.005603106879709156,0.0055202321794096745,-8.287470029948197e-05,24,149,medium,higher_in_label0(control)
TAS2R7,0.004657320545901571,0.0005991659423693419,-0.4373601789709173,-0.004747039018618188,-2.760931976831116e-05,-0.0047746483383865,24,149,medium,higher_in_label0(control)
ERLIN2,0.004873804098032247,0.0006289399921296546,-0.43568232662192397,-0.05105707361188198,0.052495243758068175,0.0014381701461862,24,149,medium,higher_in_label0(control)
TAS2R39,0.0049379525095360555,0.0006391667021025359,0.43512304250559275,0.006120525459396624,3.584443086067649e-05,0.0061563698902573,24,149,medium,higher_in_label1(disease)
ANKRD26,0.0049576940083433975,0.0006495479126953464,-0.43456375838926176,-0.032895738228328225,0.021037374817714873,-0.011858363410613349,24,149,medium,higher_in_label0(control)
MC2R,0.0049576940083433975,0.0006495479126953464,-0.43456375838926176,-0.0016897168930345,-0.00039797405380355,-0.00208769094683805,24,149,medium,higher_in_label0(control)
DYNC1LI1,0.0049576940083433975,0.0006495479126953464,-0.43456375838926176,-0.005827836831036775,0.0071580396492167755,0.00133020281818,24,149,medium,higher_in_label0(control)
CDC37,0.0049576940083433975,0.0006495479126953464,0.43456375838926165,0.123944084451672,-0.12468363245751135,-0.0007395480058393501,24,149,medium,higher_in_label1(disease)
GSK3A,0.005156046952063986,0.0006816399877432657,0.43288590604026855,0.03917276686601508,-0.039227488174597896,-5.472130858281921e-05,24,149,medium,higher_in_label1(disease)
ANLN,0.005156046952063986,0.0006816399877432657,0.43288590604026855,0.0031095114048348502,-0.0012603043985448502,0.00184920700629,24,149,medium,higher_in_label1(disease)
SAP18,0.005156046952063986,0.0006816399877432657,-0.43288590604026844,-0.0009686125685863,0.0006034923878901,-0.0003651201806962,24,149,medium,higher_in_label0(control)
CDK9,0.0051775881877012845,0.0006926607717564072,0.43232662192393745,0.04093873278184742,-0.04520543415608992,-0.0042667013742425,24,149,medium,higher_in_label1(disease)
VPS37A,0.0051775881877012845,0.0006926607717564072,0.43232662192393745,0.045016194480140506,-0.025293040028854852,0.01972315445128565,24,149,medium,higher_in_label1(disease)
GCK,0.0051775881877012845,0.0006926607717564072,-0.43232662192393734,-0.0071066527547733495,0.00845028295642615,0.0013436302016528,24,149,medium,higher_in_label0(control)
CLIP1,0.0051775881877012845,0.0006926607717564072,-0.43232662192393734,-0.00115323026967695,0.0010039847917123,-0.00014924547796465,24,149,medium,higher_in_label0(control)
TAAR1,0.005230346723180786,0.0007038469741928368,-0.43176733780760623,-0.0017385481567245998,-0.0001599310921959,-0.0018984792489204999,24,149,medium,higher_in_label0(control)
GJA1,0.005230346723180786,0.0007038469741928368,-0.43176733780760623,-0.023344305628736652,0.022679935210533353,-0.0006643704182033,24,149,medium,higher_in_label0(control)
STRADB,0.0053688642386720805,0.0007267247173893147,0.43064876957494413,0.005194622607115,-0.005033938089008,0.000160684518107,24,149,medium,higher_in_label1(disease)
PDE1C,0.0053688642386720805,0.0007267247173893147,-0.430648769574944,-0.007788553483186225,0.005924364350215125,-0.0018641891329711,24,149,medium,higher_in_label0(control)
TAS2R10,0.00551083786864411,0.0007502916593063212,0.4295302013422819,0.021352163992591825,-8.914869830602582e-05,0.0212630152942858,24,149,medium,higher_in_label1(disease)
ATP6V0D1,0.00551083786864411,0.0007502916593063212,0.4295302013422819,0.0012256777884051399,-5.4040018189939725e-05,0.0011716377702152,24,149,medium,higher_in_label1(disease)
DYNC2H1,0.005567055344250906,0.0007623394650572472,-0.4289709172259508,-0.004631729055642909,0.004623682135482175,-8.04692016073429e-06,24,149,medium,higher_in_label0(control)
